name,lat,lon,obs_cnt,temp_avg,temp_var,temp_cnt,temp_max,temp_min,humid_avg,humid_var,humid_cnt,humid_max,humid_min,pm1_avg,pm1_var,pm1_cnt,pm1_max,pm1_min,pm2_5_avg,pm2_5_var,pm2_5_cnt,pm2_5_max,pm2_5_min,pm10_avg,pm10_var,pm10_cnt,pm10_max,pm10_min
"2819 W CANYON AVE",32.798355,-117.117122,42610,73.3271386374896,179.340825800318,42319,111,39.8,47.093624140457,250.282578483521,42319,87.6,0.8,7.26122876249445,36.1908421122066,42319,90.44,0,12.1443245350788,121.403976139393,42319,253.24,0,13.2189004938679,149.453627783449,42319,358.92,0
"Avocado - Del Mar",32.986998,-117.249043,92357,70.6244301152898,78.4093699462821,91422,107.8,8.12,54.737238969221,156.544590128881,91426,106.86,3,5.98695117721023,33.9025193405826,92252,311.54,0,9.66120734509819,98.4045004577284,92252,584.77,0,11.9171782725578,146.795562228877,92252,887.05,0
"Bressi ranch",33.120256,-117.255373,52909,74.6108598593665,96.2018659241463,52904,110,45,46.3501837290186,196.374718965166,52904,72,0,8.066361144715,37.1217135546936,52904,119.21,0,11.661744858612,97.6652445916522,52904,346.29,0,14.9225108691544,150.05679282776,52902,627.61,0
"Carmel Valley _ Del Mar Mesa",32.940767,-117.211337,12985,60.8299183547719,38.1500928295683,12983,86,41.2,55.2365924670723,176.777443125155,12983,81.2,11.4,7.46864130016173,53.9864113720954,12983,116.11,0,11.6682954632982,169.179713386119,12983,397.97,0,12.4648709851344,210.502210549907,12983,599.02,0
"D street",33.046374,-117.28938,94169,71.4714029761398,77.7423472186414,93544,103,8.75,54.0132824158205,154.905523056031,93550,83,1,6.53449587427162,33.7997829354593,94044,74.83,0,10.2344999149334,90.8006584900631,94044,139.94,0,11.438256135426,115.995076820244,94044,181.05,0
"Del Rio Road",32.742729,-116.974155,89740,71.9945886654482,135.059153407446,89708,109.4,42,45.9538360531479,225.128568437098,89712,104.25,1,7.49186582154175,48.1643710463518,89612,722.15,0,11.5300751015489,112.121591349216,89612,728.21,0,12.7656539302772,140.268501842181,89612,734.67,0
"EHC 25",32.709906,-117.142482,3342,64.2850946910897,88.9606398435141,3221,95.2,42,45.14248680534,343.388176888413,3221,74.2,4.6,10.0427600124185,113.974593342699,3221,81.43,0,15.7247997516299,318.282464594981,3221,223.94,0.04,19.3042968022354,580.92588401623,3221,450.95,0.06
"Encinitas, CA",33.054744,-117.292623,90337,73.1070142557512,65.9945009712728,89157,98.8,8.62,52.7864413166602,92.142251266141,89165,162.5,5,6.13175378152194,28.989854037224,89977,70.48,0,10.0422539093324,79.1121995388459,89977,116.18,0,11.0767393889549,95.1036651907389,89977,127.86,0
"Horizon",33.042196,-117.255603,93674,71.0108597691693,107.502436385766,92362,108,9.29,53.649822441644,186.673701539448,92364,100.38,3.8,7.46469723539218,85.228706133097,92382,381.71,0,11.6178692818947,247.225161437843,92382,737.98,0,12.807715247559,281.387019340094,92382,803.17,0
"Kristen Court Encinitas",33.050474,-117.280242,91609,71.0775830107292,65.079831209719,90410,96.4,9.43,50.9339219828349,130.566505510431,90416,80.71,1,6.21433521908172,30.029439913882,91564,193.11,0,10.3292353981914,86.8613748978326,91564,362.5,0,11.8956562622865,108.624362959549,91564,563.35,0
"LJS 8399 PDO",32.858202,-117.254523,40512,72.791297585541,84.0484437081615,40506,106.4,48.8,54.958651804671,132.983868067518,40506,74.8,13,7.50002271268459,42.483746460415,40506,178.03,0,12.5881133659211,124.030154430894,40506,290.79,0,14.5602214486743,156.840968930098,40506,308.81,0
"McMahan",33.128716,-117.16295,2382,60.9338851351352,157.872660522502,2368,90,36.8,49.9685304054054,401.141038481539,2368,78,6.8,8.15874577702704,57.8695562209369,2368,130.16,0,12.7138555743243,422.467219137559,2368,770.63,0,13.7447401774398,312.943753345396,2367,639.1,0
"NBC7 Scripps Ranch",32.924372,-117.111951,21277,69.1396724351051,86.2143717702198,21034,105,46.8,41.670171151469,317.919177244516,21034,79.6,3,5.17725349434249,36.6181055976034,21034,41.21,0,9.21717077113241,133.719982177179,21034,87.04,0,10.109715698393,156.726246160788,21034,131.12,0
"North PB",32.811871,-117.248044,5110,58.9440874338364,58.5355673484321,5101,85,37,57.1570025485199,237.813230013524,5101,76.8,9.4,9.08017447559303,86.2632084989641,5101,156.37,0,14.3439070770437,215.51796396705,5101,180.81,0,17.1081180160752,298.166973359404,5101,334.33,0
"OB Flight Path",32.743006,-117.23664,88663,72.840616037273,50.2137409541339,88631,98.8,43.6,50.8356286242923,95.3137814199852,88638,97,5.4,8.48828878157165,527.222298568013,88212,979.95,0,12.8185280914162,611.142258544647,88212,988.53,0,13.5962394005351,631.760212780596,88212,994.46,0
"Orchid House",32.816515,-117.249812,7677,61.2735726384361,30.5924322697756,7675,88,47.4,54.2294592833877,279.457650541573,7675,79.5,9.6,9.22970553745927,81.6146643125511,7675,57.91,0,15.0170162866449,248.219740718394,7675,165.63,0,16.9348651465799,308.470433663725,7675,272.51,0
"Poway, CA",33.026126,-117.044319,86967,73.8874682105015,117.953417341861,86192,108.6,8,44.600641583424,169.678432435956,86193,73,0.8,5.50722662641443,19.6022394212908,86786,96.12,0,8.81089357730508,58.3785761433791,86786,182.92,0,10.1064557647547,76.2056110817416,86786,258.68,0
"SD APCD SES CO",32.709904,-117.142647,53825,81.0202247830675,42.7122893206542,50938,113.8,34.71,29.820358867643,72.5034437686002,50938,156.86,2.2,5.3828611804148,34.3371107831379,51304,86,0,8.24691213160765,84.4455323318297,51304,98.5,0,9.03058708872607,108.11721597795,51304,110.69,0
"SD APCD SES PRI",32.709913,-117.142844,53184,76.8063608457643,71.0123528454905,46585,107.6,45.6,52.9856913169474,242.705278025952,46585,100,3,9.12135915386938,50.4106484998949,53136,152.52,0,14.7811361412225,141.153716610731,53136,265.54,0,16.9363382640771,188.904840911567,53136,304.74,0
"SD Home",32.746584,-117.171232,94173,70.5523244380518,78.4067679515888,93158,102,6.62,55.3237688517728,179.335343583281,93161,90.86,3,8.27037183140521,51.6552696130343,94048,147.02,0,12.3118710658387,130.27811326516,94048,241.62,0,13.4935170338551,157.768494027143,94048,272.36,0
"SDCCU Stadium",32.783179,-117.11957,22412,64.2891472136024,79.7519513867911,22233,89,39.6,55.7162744568885,186.858536025248,22233,82.6,9,8.99798992488637,65.8570222773367,22233,122.25,0,14.8623343678317,225.916513568114,22233,343.4,0,16.8336652723429,296.828899730881,22233,555.63,0
"SDSU Athletics",32.772827,-117.078108,35221,71.9328254366217,78.1635317027013,35099,99.4,48,43.1049166642926,226.607022896775,35099,79.5,2,7.04916379384021,44.8911356532379,35099,164.86,0,10.8266648622468,132.983900233312,35099,283.87,0,11.6100279210234,161.522004688948,35099,423.98,0
"Sail Bay, Pacific Beach",32.791442,-117.249254,15154,63.3185878315963,83.5637650484779,15154,103.2,42,57.2332169724164,261.917909065702,15154,86.4,11,13.1815097250167,269.482514542627,14910,910,0,21.2201408450705,525.734713696707,14910,920.01,0,24.7747551978536,678.757970934101,14910,925.23,0
"Santa Hidalga",33.006957,-117.255972,84210,70.1439760623056,206.455719590106,52386,106.6,-226,58.9350479135648,292.692034821601,52386,100,2,6.21776965704605,32.5663076523319,83189,161.77,0,9.71583610813948,93.4176497255563,83189,165.1,0,11.3823021072498,115.806011989989,83189,168.56,0
"Torrey Hills Park",32.916297,-117.222438,88811,70.0849060391666,72.7732659962099,85674,101.2,7.88,62.2773468339656,371.579700569727,85675,107,3.71,5.12958442131166,330.847140037912,86169,701.52,0,7.69352748668322,419.222921497183,86169,704.66,0,8.12875906648563,437.006841128408,86169,705.68,0
"USD Athletics",32.775117,-117.183845,15246,59.7396757374474,63.6212394662746,14001,88.33,32,56.9772980501391,253.721048191801,14001,79.2,8,11.9400871366331,137.05408254955,14001,109.7,0,17.7415870294979,340.606380281159,14001,311.11,0,21.2679751446325,535.058245535383,14001,581.22,0
"Wandering Road in Encinitas",33.060976,-117.255645,94176,73.3451730075701,102.675426189798,92337,110,9.38,48.1343596629919,163.873001867934,92342,89.12,3,7.19595450102005,41.0681728029363,94112,200.96,0,10.8938121599796,135.435290584643,94112,545.74,0,12.1649442130318,248.862529822513,94108,957.4,0
