name,lat,lon,obs_cnt,temp_avg,temp_var,temp_cnt,temp_max,temp_min,humid_avg,humid_var,humid_cnt,humid_max,humid_min,pm1_avg,pm1_var,pm1_cnt,pm1_max,pm1_min,pm2_5_avg,pm2_5_var,pm2_5_cnt,pm2_5_max,pm2_5_min,pm10_avg,pm10_var,pm10_cnt,pm10_max,pm10_min
"003 FK Parking Lot",34.10921,-117.634656,2432,62.5434004934211,116.631197851879,2432,103.23,37.83,42.3176521381579,358.390911350764,2432,80.97,0.63,7.11317845394738,86.4650022750109,2432,54.84,0,12.0716735197368,286.80953430225,2432,105.51,0,14.1500205592106,410.668031961732,2432,129.51,0.08
"005- FK Shelby Forest",34.109474,-117.635981,1077,67.2987708649468,95.6984168759888,659,92.13,40.88,37.0979210925644,378.900287616864,659,88.17,7.53,6.15109256449166,63.1735577710541,659,39.34,0,9.00965098634295,157.106053525421,659,70.98,0,10.0845523520486,208.492067694444,659,90.1,0
"1381 Rock Haven St",34.046755,-118.155307,17087,74.5485633670349,209.411254111384,17012,129.7,28.91,44.2676986365774,347.881898999626,17016,90.74,0,10.3051985009954,92.0911170742558,17078,172.72,0,15.3869756411757,233.918914463421,17078,262.72,0,17.7749396884881,328.64647105978,17078,304.54,0
"2433 Hines drive, Los Angeles",34.111874,-118.228293,10443,71.0426980703743,107.97091081472,8810,106.13,34.2,40.3094325919204,262.734358207122,8812,73.33,1.8,9.12113384955755,64.0736053632086,9040,85.54,0,14.1504535398231,193.327705469686,9040,134.19,0,14.9790055309734,223.055693877611,9040,141.36,0
"25TH ST. SANTA MONICA",34.038909,-118.482316,2865,63.2556585879873,45.8724424947813,2847,93.47,49.07,54.4678960309098,259.661214018702,2847,84.67,12.3,5.98789603090976,63.8253145106205,2847,65.83,0,10.1340990516333,208.760219207331,2847,102.56,0,11.4995855286266,269.838642906157,2847,169.9,0.03
"25th Street",34.043484,-118.487608,4097,66.5241273352998,113.04944145612,4068,117.67,46.07,49.6673451327433,322.837256338194,4068,77.47,5.03,5.52647000983285,55.6406410399162,4068,49.28,0,9.96750245821045,202.028673229648,4068,93.02,0,11.5165806293018,259.751929367238,4068,108.36,0
"2810 Forrester drive, Los Angeles, Ca 90064",34.040783,-118.402083,2000,66.3767349999998,37.5475345570534,2000,103.23,52.6,45.183105,189.142692755353,2000,68.6,2.77,6.10159500000002,56.2728184151825,2000,62.54,0,10.182845,199.136182447198,2000,212.69,0,11.092915,266.052463984767,2000,295.3,0.04
"2857 W. 7th Street",34.059919,-118.287979,14100,76.0456466989187,105.963132047066,14056,114.87,40.47,44.6109661354582,202.834612997502,14056,70.76,1.03,12.3001600739898,92.6206489747303,14056,94.54,0,17.4657790267501,219.001469816409,14056,132.48,0,19.6673797666477,282.254801294686,14056,147.46,0.02
"3523 Madison Court",33.801738,-118.347352,16917,70.5255636012546,64.2399027841387,16572,102.7,38,48.2061881486843,148.112599825318,16572,73.86,3.77,6.74887756332926,49.0774767121936,16580,122.7,0,10.9891314837154,138.988394926917,16580,260.9,0,12.8299921592279,212.599892641232,16580,572.37,0.05
"360SouthBay-west",33.912557,-118.378174,3174,64.9858506616259,64.7045671771866,3174,102.37,46.97,54.0830623818527,311.045433732634,3174,82.97,7.97,8.66491808443602,116.159175584211,3174,75.39,0,13.6393446754884,303.513593204199,3174,124.87,0,14.7557718966604,338.876702634368,3174,132,0
"3rd and California",34.020344,-118.501704,17232,73.4992434726992,48.84817760279,17197,94.53,52.33,43.5680670852228,117.509528471052,17202,69.98,2,7.75073944890127,55.1058195566658,17202,146.84,0,11.8700098825718,126.952311522489,17202,191.14,0,13.2029798860598,159.161258825128,17202,200.69,0
"3rd and Marine",33.999649,-118.478577,6734,70.6914656964656,65.5015945690739,6734,102.4,50,50.4533768933768,207.270579802383,6734,72.1,0,8.41306949806953,80.0010895965361,6734,124.5,0,13.2601841401842,201.5191739747,6734,167.53,0,14.5064701514701,237.658915727834,6734,177.07,0
"4364 Maury Ave, Long Beach, CA 90807",33.837258,-118.17547,10577,73.1664263293063,120.226663721194,10513,106.87,45,54.0967773233142,247.136459495407,10513,80.27,3.9,10.263446209455,95.9644422225869,10513,108.37,0,16.6846637496433,260.709719980626,10513,158.5,0,17.7460696280796,290.736792161059,10513,165.46,0
